File,Lines (% total),Code Lines,% Code,Comment Lines,% Comment,Blank Lines,% Blank
AbstractCommand.java,56 (100.0%),22,39.3%,24,42.9%,10,17.9%
BanCommand.java,64 (53.3%),51,79.7%,0,0.0%,13,20.3%
KickCommand.java,62 (34.1%),51,82.3%,0,0.0%,11,17.7%
ReloadCommand.java,52 (22.2%),43,82.7%,0,0.0%,9,17.3%
RestartCommand.java,56 (19.3%),43,76.8%,5,8.9%,8,14.3%
AviTimeCommand.java,42 (12.7%),34,81.0%,0,0.0%,8,19.0%
CatCommand.java,46 (12.2%),36,78.3%,0,0.0%,10,21.7%
ChangelogCommand.java,53 (12.3%),45,84.9%,1,1.9%,7,13.2%
DebugCommand.java,49 (10.2%),42,85.7%,0,0.0%,7,14.3%
HelpCommand.java,47 (8.9%),41,87.2%,0,0.0%,6,12.8%
HololivePhotoCommand.java,174 (24.8%),162,93.1%,0,0.0%,12,6.9%
HowPogCommand.java,49 (6.5%),40,81.6%,0,0.0%,9,18.4%
HugCommand.java,54 (6.7%),44,81.5%,0,0.0%,10,18.5%
KissCommand.java,54 (6.3%),44,81.5%,0,0.0%,10,18.5%
MemeCommand.java,41 (4.6%),32,78.0%,0,0.0%,9,22.0%
PlayCommand.java,40 (4.3%),33,82.5%,0,0.0%,7,17.5%
QueueCommand.java,33 (3.4%),26,78.8%,0,0.0%,7,21.2%
SkipCommand.java,29 (2.9%),24,82.8%,0,0.0%,5,17.2%
PaciCommand.java,39 (3.8%),33,84.6%,0,0.0%,6,15.4%
PatCommand.java,49 (4.5%),40,81.6%,0,0.0%,9,18.4%
PingCommand.java,65 (5.6%),54,83.1%,5,7.7%,6,9.2%
GetGenerationRoleCommand.java,88 (7.1%),75,85.2%,4,4.5%,9,10.2%
VerifyCommand.java,74 (5.6%),63,85.1%,0,0.0%,11,14.9%
SusCommand.java,43 (3.2%),28,65.1%,8,18.6%,7,16.3%
Configuration.java,59 (4.2%),47,79.7%,6,10.2%,6,10.2%
AudioPlayerSendHandler.java,47 (3.2%),30,63.8%,10,21.3%,7,14.9%
GuildMusicManager.java,36 (2.4%),15,41.7%,17,47.2%,4,11.1%
MusicUtilities.java,95 (6.0%),69,72.6%,6,6.3%,20,21.1%
TrackScheduler.java,56 (3.4%),29,51.8%,20,35.7%,7,12.5%
Runner.java,201 (10.8%),152,75.6%,34,16.9%,15,7.5%
SubCountRenamer.java,98 (5.0%),89,90.8%,0,0.0%,9,9.2%
UserRole.java,5 (0.3%),4,80.0%,0,0.0%,1,20.0%
Utilities.java,20 (1.0%),16,80.0%,0,0.0%,4,20.0%
Total,1976,1557,0.8,140,0.1,279,0.1
